Data			Hota	Temperatura (C)		Umidade (%)		Presao (hPa)		Vento (m/s)	Rn	Temp Interna
			UTC	Inst.	Max.	Min	Inst.	Max	Min.	Inst.	Max.	Min.	Vel.		Kj/m2	C
00:00:14 29/05/2019	00	19.2	20.7	19.2	91.3	91.3	83.6	915.4	915.4	915.3	0.0		57.11	19.0
01:00:08 29/05/2019	01	18.7	19.4	18.6	92.8	93.4	90.0	915.4	915.5	915.2	0.0		57.11	18.5
02:00:01 29/05/2019	02	18.2	18.7	18.2	96.4	96.4	92.8	915.4	915.4	915.1	0.0		57.11	17.5
03:00:09 29/05/2019	03	18.0	18.2	17.8	96.7	98.0	96.2	915.4	915.5	915.4	0.0		45.96	17.5
04:00:03 29/05/2019	04	17.4	18.0	17.2	99.5	100.0	96.6	915.7	915.7	915.1	0.0		45.96	17.0
05:00:11 29/05/2019	05	17.1	17.4	16.8	100.0	100.0	99.2	915.2	915.7	915.1	0.0		57.11	16.5
06:00:05 29/05/2019	06	16.6	17.3	16.6	100.0	100.0	100.0	914.6	915.3	914.5	0.0		57.11	16.5
07:00:13 29/05/2019	07	16.7	16.7	16.3	100.0	100.0	100.0	914.3	914.8	914.2	0.0		45.96	16.5
08:00:07 29/05/2019	08	15.9	16.7	15.8	100.0	100.0	100.0	914.7	914.8	914.2	0.0		57.11	15.5
09:00:01 29/05/2019	09	15.1	15.9	15.1	100.0	100.0	100.0	915.5	915.5	914.6	0.0		57.11	15.0
10:00:10 29/05/2019	10	16.5	16.5	15.2	100.0	100.0	100.0	916.5	916.5	915.5	0.0		2733.28	16.5
11:00:05 29/05/2019	11	18.7	20.5	16.5	92.8	100.0	85.1	916.8	917.0	916.5	0.3		11397.38	24.0
12:00:01 29/05/2019	12	21.3	21.8	18.6	81.7	93.0	79.5	917.3	917.3	916.8	0.0		11397.38	26.0
13:00:11 29/05/2019	13	24.9	25.0	20.4	71.8	84.8	71.4	917.1	917.6	917.1	0.3		11397.38	29.0
14:00:07 29/05/2019	14	27.1	29.3	24.6	64.6	74.3	57.1	916.3	917.1	916.2	0.0		11397.38	35.0
15:00:03 29/05/2019	15	30.0	30.6	26.6	57.0	67.3	55.1	915.0	916.4	915.0	0.0		11397.38	35.0
